UG_250 = 3309, Crit0_250 = 2339
UG_251 = 1, Crit0_251 = 5013
UG_252 = 1602, Crit0_252 = 1945
UG_253 = 3311, Crit0_253 = 1147
UG_254 = 3, Crit0_254 = 1127
UG_255 = 3, Crit0_255 = 999
UG_256 = 3, Crit0_256 = 2889
UG_257 = 3700, Crit0_257 = 964
UG_258 = 3, Crit0_258 = 4562
UG_259 = 1602, Crit0_259 = 229
UG_260 = 3, Crit0_260 = 3579
UG_261 = 501, Crit0_261 = 2361
UG_262 = 700, Crit0_262 = 1141
UG_263 = 2, Crit0_263 = 3839
UG_264 = 2, Crit0_264 = 4311
UG_265 = 1319, Crit0_265 = 7388
UG_266 = 1700, Crit0_266 = 3039
UG_267 = 2, Crit0_267 = 3401
UG_268 = 3602, Crit0_268 = 1302
UG_269 = 1, Crit0_269 = 2697
UG_270 = 3, Crit0_270 = 5243
UG_271 = 3602, Crit0_271 = 833
UG_272 = 3700, Crit0_272 = 1388
UG_273 = 2603, Crit0_273 = 465
UG_274 = 503, Crit0_274 = 1268
UG_275 = 602, Crit0_275 = 42
UG_276 = 604, Crit0_276 = 23
UG_277 = 502, Crit0_277 = 815
UG_278 = 1700, Crit0_278 = 2024
UG_279 = 604, Crit0_279 = 24
UG_280 = 2700, Crit0_280 = 707
UG_281 = 2319, Crit0_281 = 3365
UG_282 = 503, Crit0_282 = 10707
UG_283 = 700, Crit0_283 = 591
UG_284 = 1700, Crit0_284 = 1015
UG_285 = 1, Crit0_285 = 3811
UG_286 = 3600, Crit0_286 = 410
UG_287 = 2, Crit0_287 = 3082
UG_288 = 2, Crit0_288 = 639
UG_289 = 2, Crit0_289 = 2406
UG_290 = 3700, Crit0_290 = 1172
UG_291 = 3, Crit0_291 = 1730
UG_292 = 1700, Crit0_292 = 788
UG_293 = 1700, Crit0_293 = 477
UG_294 = 3, Crit0_294 = 412
UG_295 = 8601, Crit0_295 = 640
UG_296 = 3, Crit0_296 = 474
UG_297 = 2700, Crit0_297 = 539
UG_298 = 1700, Crit0_298 = 888
UG_299 = 3, Crit0_299 = 379
UG_300 = 20, Crit0_300 = 9577
UG_301 = 501, Crit0_301 = 799
UG_302 = 1, Crit0_302 = 520
UG_303 = 3, Crit0_303 = 256
UG_304 = 3700, Crit0_304 = 2030
UG_305 = 503700, Crit0_305 = 161
UG_306 = 2, Crit0_306 = 10155
UG_307 = 19600, Crit0_307 = 1156
UG_308 = 2700, Crit0_308 = 55
UG_309 = 1310, Crit0_309 = 3135
UG_310 = 700, Crit0_310 = 2374
UG_311 = 2700, Crit0_311 = 2434
UG_312 = 1602, Crit0_312 = 315
UG_313 = 3603, Crit0_313 = 493
UG_314 = 1, Crit0_314 = 2174
UG_315 = 700, Crit0_315 = 812
UG_316 = 3, Crit0_316 = 1163
UG_317 = 29, Crit0_317 = 4686
UG_318 = 3700, Crit0_318 = 854
UG_319 = 502, Crit0_319 = 2005
UG_320 = 1700, Crit0_320 = 1331
UG_321 = 700, Crit0_321 = 117
UG_322 = 700, Crit0_322 = 538
UG_323 = 700, Crit0_323 = 504
UG_324 = 3, Crit0_324 = 3736
UG_325 = 3, Crit0_325 = 3665
UG_326 = 3308, Crit0_326 = 897
UG_327 = 2, Crit0_327 = 3488
UG_328 = 2, Crit0_328 = 5099
UG_329 = 3, Crit0_329 = 4808
UG_330 = 503, Crit0_330 = 4385
UG_331 = 3, Crit0_331 = 3513
UG_332 = 2, Crit0_332 = 1702
UG_333 = 502, Crit0_333 = 1405
UG_334 = 4, Crit0_334 = 4191
UG_335 = 3303, Crit0_335 = 223
UG_336 = 2600, Crit0_336 = 1854
UG_337 = 3, Crit0_337 = 2101
UG_338 = 503, Crit0_338 = 3498
UG_339 = 2602, Crit0_339 = 248
UG_340 = 3, Crit0_340 = 181
UG_341 = 802, Crit0_341 = 0
UG_342 = 700, Crit0_342 = 643
UG_343 = 503, Crit0_343 = 1104
UG_344 = 503, Crit0_344 = 2268
UG_345 = 3, Crit0_345 = 1279
UG_346 = 3, Crit0_346 = 6395
UG_347 = 3, Crit0_347 = 10143
UG_348 = 3312, Crit0_348 = 2027
UG_349 = 3604, Crit0_349 = 480
UG_350 = 3, Crit0_350 = 4147
UG_351 = 3, Crit0_351 = 2399
UG_352 = 2700, Crit0_352 = 1755
UG_353 = 501, Crit0_353 = 471
UG_354 = 1, Crit0_354 = 579
UG_355 = 3, Crit0_355 = 842
UG_356 = 3, Crit0_356 = 2260
UG_357 = 3312, Crit0_357 = 2476
UG_358 = 700, Crit0_358 = 858
UG_359 = 1700, Crit0_359 = 1368
UG_360 = 1700, Crit0_360 = 1230
UG_361 = 2, Crit0_361 = 1428
UG_362 = 3, Crit0_362 = 8842
UG_363 = 3700, Crit0_363 = 624
UG_364 = 500700, Crit0_364 = 636
UG_365 = 503700, Crit0_365 = 5393
UG_366 = 2, Crit0_366 = 12103
UG_367 = 3600, Crit0_367 = 1589
UG_368 = 3, Crit0_368 = 4855
UG_369 = 502, Crit0_369 = 1421
UG_370 = 1, Crit0_370 = 201
UG_371 = 2301, Crit0_371 = 3647
UG_372 = 3, Crit0_372 = 2491
UG_373 = 501, Crit0_373 = 299
UG_374 = 503, Crit0_374 = 5079
UG_375 = 500, Crit0_375 = 864
UG_376 = 500, Crit0_376 = 2514
UG_377 = 3, Crit0_377 = 5262
UG_378 = 503, Crit0_378 = 532
UG_379 = 503, Crit0_379 = 1612
UG_380 = 2, Crit0_380 = 5130
UG_381 = 800, Crit0_381 = 0
UG_382 = 4, Crit0_382 = 1699
UG_383 = 501, Crit0_383 = 1632
UG_384 = 501, Crit0_384 = 1149
UG_385 = 502, Crit0_385 = 1786
UG_386 = 2, Crit0_386 = 840
UG_387 = 1600, Crit0_387 = 118
UG_388 = 3, Crit0_388 = 5839
UG_389 = 2, Crit0_389 = 4028
UG_390 = 3, Crit0_390 = 841
UG_391 = 501601, Crit0_391 = 1838
UG_392 = 1310, Crit0_392 = 889
UG_393 = 2, Crit0_393 = 16807
UG_394 = 1308, Crit0_394 = 8602
UG_395 = 2600, Crit0_395 = 317
UG_396 = 3319, Crit0_396 = 3474
