Reached Exception after 7425903 millisecondsThe pareto front has 535 solutions : Crit0=362365,Crit1=-387889,Crit2=32734,end
UG_766=361, Crit0:1395,Crit1:-8184,Crit2:172,end
UG_767=351, Crit0:8075,Crit1:-2511,Crit2:170,end
UG_790=191, Crit0:1992,Crit1:-1254,Crit2:142,end
UG_793=5031, Crit0:23,Crit1:-1607,Crit2:520,end
UG_794=5031, Crit0:202,Crit1:-1600,Crit2:550,end
UG_795=5031, Crit0:253,Crit1:-1586,Crit2:690,end
UG_796=201, Crit0:6804,Crit1:-1488,Crit2:182,end
UG_797=201, Crit0:3164,Crit1:-1569,Crit2:182,end
UG_798=201, Crit0:3345,Crit1:-1568,Crit2:169,end
UG_799=5111, Crit0:138,Crit1:-1314,Crit2:940,end
UG_800=343, Crit0:3231,Crit1:-1411,Crit2:183,end
UG_801=201, Crit0:8047,Crit1:-1562,Crit2:200,end
UG_802=191, Crit0:3514,Crit1:-1476,Crit2:200,end
UG_803=341, Crit0:10676,Crit1:-1739,Crit2:180,end
UG_804=201, Crit0:7006,Crit1:-1708,Crit2:182,end
UG_805=203131, Crit0:3839,Crit1:-615,Crit2:247,end
UG_807=5001, Crit0:803,Crit1:-1562,Crit2:71,end
UG_809=5017001, Crit0:107,Crit1:-2908,Crit2:98,end
UG_810=5037002, Crit0:167,Crit1:-1909,Crit2:1410,end
UG_811=5017001, Crit0:182,Crit1:-2626,Crit2:155,end
UG_812=5001, Crit0:614,Crit1:-1729,Crit2:83,end
UG_813=341, Crit0:1102,Crit1:-3902,Crit2:200,end
UG_814=341, Crit0:632,Crit1:-4017,Crit2:180,end
UG_888=17001, Crit0:528,Crit1:-2197,Crit2:191,end
UG_1069=341, Crit0:8919,Crit1:-7607,Crit2:144,end
UG_1070=343, Crit0:30564,Crit1:-6521,Crit2:152,end
UG_1078=201, Crit0:10790,Crit1:-6710,Crit2:172,end
UG_1079=201, Crit0:20249,Crit1:-4286,Crit2:153,end
UG_1085=11, Crit0:4734,Crit1:-2540,Crit2:159,end
UG_1086=361, Crit0:6500,Crit1:-2361,Crit2:1810,end
UG_1103=11, Crit0:10029,Crit1:-3304,Crit2:198,end
UG_1104=191, Crit0:677,Crit1:-3482,Crit2:180,end
UG_1112=17001, Crit0:2114,Crit1:-12394,Crit2:237,end
UG_1127=343, Crit0:3631,Crit1:-5001,Crit2:169,end
UG_1137=21, Crit0:5094,Crit1:-5922,Crit2:165,end
UG_1142=5007001, Crit0:1196,Crit1:-1011,Crit2:115,end
UG_1143=71, Crit0:1659,Crit1:-1159,Crit2:198,end
UG_1144=11, Crit0:545,Crit1:-1317,Crit2:186,end
UG_1145=11, Crit0:2793,Crit1:-3220,Crit2:183,end
UG_1156=5017001, Crit0:388,Crit1:-9269,Crit2:135,end
