ID_UG	ID_Vertice	XX_v	YY_v	Concelho
4	248	-22486.3003	162255.3152	Paredes
4	249	-22485.5062	162254.5217	Paredes
4	250	-22444.6503	162226.1791	Paredes
4	251	-22403.1847	162171.6161	Paredes
4	252	-22402.8115	162171.3757	Paredes
4	253	-22402.3908999999	162170.8223	Paredes
4	254	-22360.8248	162144.05	Paredes
4	255	-22306.2115	162134.6497	Paredes
4	256	-22256.775	162102.3037	Paredes
4	257	-22227.5728	162038.471	Paredes
4	258	-22226.9277	162038.0022	Paredes
4	259	-22226.779	162037.6772	Paredes
4	260	-22176.5812	162001.1976	Paredes
4	261	-22176.4138	162001.0759	Paredes
4	262	-22175.9879	162000.7664	Paredes
4	263	-22140.8117	161954.4609	Paredes
4	264	-22149.415	161908.5625	Paredes
4	265	-22177.6354	161864.8154	Paredes
4	266	-22254.9162	161829.2783	Paredes
4	267	-22333.5766	161828.1397	Paredes
4	268	-22374.7713	161818.576	Paredes
4	269	-22375.3552	161818.4253	Paredes
4	270	-22385.7379	161865.1473	Paredes
4	271	-22385.9386	161866.0504	Paredes
4	272	-22435.6043	161856.9014	Paredes
4	273	-22436.2095	161856.7899	Paredes
4	274	-22442.8241	161888.54	Paredes
4	275	-22467.3235	161919.4866	Paredes
4	276	-22467.9596	161920.2901	Paredes
4	277	-22560.901	161914.6037	Paredes
4	278	-22600.9349	161948.8246	Paredes
4	279	-22776.4812	161889.8167	Paredes
4	280	-22802.3074	161941.2599	Paredes
4	281	-22806.5479	161963.4777	Paredes
4	282	-22768.0285	161998.748	Paredes
4	283	-22782.8452	162024.148	Paredes
4	284	-22804.0119	162028.3814	Paredes
4	285	-22830.4703	162029.4397	Paredes
4	286	-22844.2287	162036.8481	Paredes
4	287	-22843.9619	162054.7247	Paredes
4	288	-22843.6995	162072.3023	Paredes
4	289	-22848.462	162104.0524	Paredes
4	290	-22870.6871	162137.3899	Paredes
4	291	-22891.3687	162152.9165	Paredes
4	292	-22916.5041	162169.453	Paredes
4	293	-22940.3167	162201.8646	Paredes
4	294	-22906.6253	162246.8983	Paredes
4	295	-22795.2835	162324.0957	Paredes
4	296	-22858.2166	162403.7624	Paredes
4	297	-22890.1493	162479.9782	Paredes
4	298	-22843.2986	162471.9183	Paredes
4	299	-22796.2214	162491.1183	Paredes
4	300	-22744.6926	162498.4583	Paredes
4	301	-22712.1559	162465.5426	Paredes
4	302	-22712.139	162465.5348	Paredes
4	303	-22659.2581	162440.9711	Paredes
5	304	-22691.5403	164107.4628	Paredes
5	305	-22688.9278	164104.8538	Paredes
5	306	-22677.543	164093.4841	Paredes
5	307	-22677.5209	164093.462	Paredes
5	308	-22676.106	164092.1655	Paredes
