89,2026,Ec,280
89,2038,Ec,370
89,2050,Ec,328
89,2062,Ec,530
90,2049,Sb,418
90,2059,Sb,246
90,2068,Sb,384
91,2026,Ec,225
91,2038,Ec,304
91,2050,Ec,506
91,2062,Ec,463
92,2025,Ec,154
92,2036,Ec,201
92,2047,Ec,183
92,2058,Ec,340
92,2069,Ec,310
93,2034,Pb,42
93,2044,Pb,234
93,2054,Pb,312
93,2069,Pb,2180
94,2024,Ec,909
94,2047,Qr,0
94,2051,Qr,3
94,2061,Qr,13
94,2069,Qr,23
95,2021,Ec,1191
95,2051,Ct,605
95,2061,Ct,922
95,2066,Ct,1419
96,2028,Ec,876
96,2039,Ec,794
96,2050,Ec,714
96,2061,Ec,1073
97,2027,Ec,853
97,2057,Ct,348
97,2067,Ct,1257
98,2029,Ec,1426
98,2041,Ec,1291
98,2053,Ec,1160
98,2065,Ec,1738
99,2028,Ec,1000
99,2051,Qr,0
99,2055,Qr,1
99,2065,Qr,6
100,2029,Ec,1491
100,2041,Ec,1405
100,2053,Ec,1220
100,2065,Ec,1313
101,2044,Pb,269
101,2054,Pb,449
101,2069,Pb,3016
102,2039,Pb,193
102,2049,Pb,278
102,2064,Pb,2185
103,2044,Pb,263
103,2054,Pb,420
103,2069,Pb,2789
104,2034,Pb,48
104,2044,Pb,260
104,2054,Pb,303
104,2069,Pb,2375
105,2022,Ec,598
105,2033,Ec,613
105,2044,Ec,557
105,2055,Ec,905
105,2066,Ec,833
106,2029,Ec,1004
106,2041,Ec,910
106,2053,Ec,818
106,2065,Ec,1223
107,2028,Ec,693
107,2039,Ec,628
107,2050,Ec,565
107,2061,Ec,848
108,2028,Ec,508
108,2039,Ec,461
108,2050,Ec,415
108,2061,Ec,621
109,2042,Pb,80
109,2052,Pb,206
109,2067,Pb,1505
110,2028,Ec,1793
110,2058,Ct,634
110,2068,Ct,966
111,2054,Pb,25
111,2069,Pb,226
112,2049,Sb,48
112,2059,Sb,287
112,2068,Sb,148
113,2029,Ec,1624
113,2052,Qr,0
113,2056,Qr,2
113,2066,Qr,8
114,2023,Ec,306
114,2034,Ec,414
114,2045,Ec,377
114,2056,Ec,516
114,2067,Ec,483
115,2023,Ec,479
115,2053,Sb,59
115,2063,Sb,356
116,2021,Ec,48
116,2032,Ec,92
116,2043,Ec,84
